Player,Position,MLB_Team,Pct_Owned,Total_Points,Projected_Points,Injury_Status,HR,RBI,R,SB,AVG,W,ERA,WHIP,K,SV
Michael Arroyo,2B,Sea,0.16,0.0,24.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Frazier,2B,LAA,0.15,20.0,73.0,ACTIVE,1.0,3.0,8.0,0.0,0.30434783,0.0,0.0,0.0,0.0,0.0
Jorbit Vivas,2B,Wsh,0.12,19.0,28.0,ACTIVE,0.0,2.0,9.0,0.0,0.32432432,0.0,0.0,0.0,0.0,0.0
Michael Massey,2B,KC,0.11,1.0,124.0,ACTIVE,0.0,0.0,1.0,0.0,0.21428571,0.0,0.0,0.0,0.0,0.0
Darell Hernaiz,SS,Oak,0.11,2.0,113.0,ACTIVE,0.0,0.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0
Termarr Johnson,2B,Pit,0.11,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leo Rivas,2B,Sea,0.1,6.0,61.0,ACTIVE,0.0,3.0,4.0,0.0,0.17073171,0.0,0.0,0.0,0.0,0.0
Ryan Ritter,SS,Col,0.09,-1.0,121.0,ACTIVE,0.0,0.0,1.0,0.0,0.14285714,0.0,0.0,0.0,0.0,0.0
Tommy Troy,2B,Ari,0.09,0.0,52.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adael Amador,2B,Col,0.06,0.0,55.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Freeman,2B,Tex,0.06,0.0,61.0,TEN_DAY_DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Fermin,2B,StL,0.06,3.0,84.0,ACTIVE,0.0,1.0,1.0,0.0,0.23076923,0.0,0.0,0.0,0.0,0.0
Max Schuemann,2B,NYY,0.06,0.0,50.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanner Murray,3B,ChW,0.06,7.0,16.0,ACTIVE,1.0,2.0,2.0,0.0,0.26315789,0.0,0.0,0.0,0.0,0.0
Kyle Farmer,2B,Atl,0.05,7.0,41.0,ACTIVE,0.0,3.0,1.0,0.0,0.33333333,0.0,0.0,0.0,0.0,0.0
